LJ021-0001|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section 6.|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section six.
LJ021-0020|and transportation and trade, so great in the mass that each individual concerned in them is quite helpless by himself.|and transportation and trade, so great in the mass that each individual concerned in them is quite helpless by himself.
LJ021-0021|The relations between the employer and the employed, between the owners of aggregated capital and the units of organized labor,|The relations between the employer and the employed, between the owners of aggregated capital and the units of organized labor,
LJ021-0022|between the small producer, the small trader, the consumer,|between the small producer, the small trader, the consumer,
LJ021-0023|and the great transporting and manufacturing and distributing agencies,|and the great transporting and manufacturing and distributing agencies,
LJ021-0024|all present new questions for the solution of which the old reliance upon the free action of individual wills appears quite inadequate.|all present new questions for the solution of which the old reliance upon the free action of individual wills appears quite inadequate.
LJ021-0025|And in many directions, the intervention of that organized control which we call government|And in many directions, the intervention of that organized control which we call government
LJ021-0026|seems necessary to produce the same result of justice and right conduct|seems necessary to produce the same result of justice and right conduct
LJ021-0027|which obtained through the attrition of individuals before the new conditions arose.|which obtained through the attrition of individuals before the new conditions arose.
LJ021-0028|It was in this spirit thus described by Secretary Root|It was in this spirit thus described by Secretary Root
LJ021-0029|that we approached our task of reviving private enterprise in March, 1933.|that we approached our task of reviving private enterprise in March, nineteen thirty-three.
LJ021-0030|Our first problem was, of course, the banking situation because, as you know, the banks had collapsed.|Our first problem was, of course, the banking situation because, as you know, the banks had collapsed.
LJ021-0031|Some banks could not be saved but the great majority of them, either through their own resources or with government aid,|Some banks could not be saved but the great majority of them, either through their own resources or with government aid,
LJ021-0032|have been restored to complete public confidence.|have been restored to complete public confidence.
LJ021-0033|This has given safety to millions of depositors in these banks.|This has given safety to millions of depositors in these banks.
LJ021-0034|Closely following this great constructive effort we have, through various federal agencies,|Closely following this great constructive effort we have, through various federal agencies,
LJ021-0035|saved debtors and creditors alike in many other fields of enterprise, such as loans on farm mortgages and home mortgages;|saved debtors and creditors alike in many other fields of enterprise, such as loans on farm mortgages and home mortgages;
LJ021-0036|loans to the railroads and insurance companies and, finally, help for home owners and industry itself.|loans to the railroads and insurance companies and, finally, help for home owners and industry itself.
LJ021-0037|In all of these efforts the government has come to the assistance of business|In all of these efforts the government has come to the assistance of business
LJ021-0038|and with the full expectation that the money used to assist these enterprises will eventually be repaid.|and with the full expectation that the money used to assist these enterprises will eventually be repaid.
LJ021-0039|I believe it will be.|I believe it will be.
LJ021-0040|The second step we have taken in the restoration of normal business enterprise|The second step we have taken in the restoration of normal business enterprise
LJ021-0041|has been to clean up thoroughly unwholesome conditions in the field of investment.|has been to clean up thoroughly unwholesome conditions in the field of investment.
LJ021-0042|In this we have had assistance from many bankers and businessmen,|In this we have had assistance from many bankers and businessmen,
LJ021-0043|most of whom recognize the past evils in the banking system, in the sale of securities, in the deliberate encouragement of stock gambling,|most of whom recognize the past evils in the banking system, in the sale of securities, in the deliberate encouragement of stock gambling,
LJ021-0044|in the sale of unsound mortgages and in many other ways in which the public lost billions of dollars.|in the sale of unsound mortgages and in many other ways in which the public lost billions of dollars.
LJ021-0045|They saw that without changes in the policies and methods of investment|They saw that without changes in the policies and methods of investment
LJ021-0046|there could be no recovery of public confidence in the security of savings.|there could be no recovery of public confidence in the security of savings.
LJ021-0047|The country now enjoys the safety of bank savings under the new banking laws,|The country now enjoys the safety of bank savings under the new banking laws,
LJ021-0048|the careful checking of new securities under the Securities Act|the careful checking of new securities under the Securities Act
LJ021-0050|I sincerely hope that as a result|I sincerely hope that as a result
LJ021-0051|people will be discouraged in unhappy efforts to get rich quick by speculating in securities.|people will be discouraged in unhappy efforts to get rich quick by speculating in securities.
LJ021-0052|The average person almost always loses.|The average person almost always loses.
LJ021-0053|Only a very small minority of the people of this country believe in gambling as a substitute for the old philosophy of Benjamin Franklin|Only a very small minority of the people of this country believe in gambling as a substitute for the old philosophy of Benjamin Franklin
LJ021-0054|that the way to wealth is through work.|that the way to wealth is through work.
LJ021-0055|In meeting the problems of industrial recovery the chief agency of the government has been the National Recovery Administration.|In meeting the problems of industrial recovery the chief agency of the government has been the National Recovery Administration.
LJ021-0056|Under its guidance, trades and industries covering over 90 percent of all industrial employees|Under its guidance, trades and industries covering over ninety percent of all industrial employees
LJ021-0057|have adopted codes of fair competition, which have been approved by the President.|have adopted codes of fair competition, which have been approved by the President.
LJ021-0058|Under these codes, in the industries covered, child labor has been eliminated.|Under these codes, in the industries covered, child labor has been eliminated.
LJ021-0059|The work day and the work week have been shortened.|The work day and the work week have been shortened.
LJ021-0060|Minimum wages have been established and other wages adjusted toward a rising standard of living.|Minimum wages have been established and other wages adjusted toward a rising standard of living.
LJ021-0061|The emergency purpose of the N.R.A. was to put men to work and since its creation more than four million persons have been reemployed,|The emergency purpose of the N.R.A. was to put men to work and since its creation more than four million persons have been reemployed,
LJ021-0062|in great part through the cooperation of American business brought about under the codes.|in great part through the cooperation of American business brought about under the codes.
LJ021-0063|Benefits of the Industrial Recovery Program have come,|Benefits of the Industrial Recovery Program have come,
LJ021-0064|not only to labor in the form of new jobs, in relief from overwork and in relief from underpay,|not only to labor in the form of new jobs, in relief from overwork and in relief from underpay,
LJ021-0065|but also to the owners and managers of industry because,|but also to the owners and managers of industry because,
LJ021-0066|together with a great increase in the payrolls, there has come a substantial rise in the total of industrial profits|together with a great increase in the payrolls, there has come a substantial rise in the total of industrial profits
LJ021-0067|a rise from a deficit figure in the first quarter of 1933|a rise from a deficit figure in the first quarter of nineteen thirty-three
LJ021-0068|to a level of sustained profits within one year from the inauguration of N.R.A.|to a level of sustained profits within one year from the inauguration of N.R.A.
LJ021-0069|Now it should not be expected that even employed labor and capital would be completely satisfied with present conditions.|Now it should not be expected that even employed labor and capital would be completely satisfied with present conditions.
LJ021-0070|Employed workers have not by any means all enjoyed a return to the earnings of prosperous times,|Employed workers have not by any means all enjoyed a return to the earnings of prosperous times,
LJ021-0071|although millions of hitherto underprivileged workers are today far better paid than ever before.|although millions of hitherto underprivileged workers are today far better paid than ever before.
LJ021-0072|Also, billions of dollars of invested capital have today a greater security of present and future earning power than before.|Also, billions of dollars of invested capital have today a greater security of present and future earning power than before.
LJ021-0073|This is because of the establishment of fair, competitive standards and because of relief from unfair competition|This is because of the establishment of fair, competitive standards and because of relief from unfair competition
LJ021-0074|in wage cutting which depresses markets and destroys purchasing power.|in wage cutting which depresses markets and destroys purchasing power.
LJ021-0075|But it is an undeniable fact that the restoration of other billions of sound investments to a reasonable earning power|But it is an undeniable fact that the restoration of other billions of sound investments to a reasonable earning power
LJ021-0076|could not be brought about in one year.|could not be brought about in one year.
LJ021-0077|There is no magic formula,|There is no magic formula,
LJ021-0078|no economic panacea, which could simply revive over-night the heavy industries and the trades dependent upon them.|no economic panacea, which could simply revive over-night the heavy industries and the trades dependent upon them.
LJ021-0079|Nevertheless the gains of trade and industry, as a whole, have been substantial.|Nevertheless the gains of trade and industry, as a whole, have been substantial.
LJ021-0080|In these gains and in the policies of the administration there are assurances that hearten all forward- looking men and women|In these gains and in the policies of the administration there are assurances that hearten all forward- looking men and women
LJ021-0081|with the confidence that we are definitely rebuilding our political and economic system on the lines laid down by the New Deal|with the confidence that we are definitely rebuilding our political and economic system on the lines laid down by the New Deal
LJ021-0082|lines which as I have so often made clear, are in complete accord with the underlying principles of orderly popular government|lines which as I have so often made clear, are in complete accord with the underlying principles of orderly popular government
LJ021-0083|which Americans have demanded since the white man first came to these shores.|which Americans have demanded since the white man first came to these shores.
LJ021-0084|We count, in the future as in the past, on the driving power of individual initiative|We count, in the future as in the past, on the driving power of individual initiative
LJ021-0085|and the incentive of fair private profit,|and the incentive of fair private profit,
LJ021-0086|strengthened with the acceptance of those obligations to the public interest which rest upon us all.|strengthened with the acceptance of those obligations to the public interest which rest upon us all.
LJ021-0087|We have the right to expect that this driving power will be given patriotically and whole-heartedly to our nation.|We have the right to expect that this driving power will be given patriotically and whole-heartedly to our nation.
LJ021-0088|We have passed through the formative period of code making in the National Recovery Administration|We have passed through the formative period of code making in the National Recovery Administration
LJ021-0089|and have effected a reorganization of the N.R.A.|and have effected a reorganization of the N.R.A.
LJ021-0090|suited to the needs of the next phase, which is, in turn, a period of preparation for legislation which will determine its permanent form.|suited to the needs of the next phase, which is, in turn, a period of preparation for legislation which will determine its permanent form.
LJ021-0091|In this recent reorganization we have recognized three distinct functions:|In this recent reorganization we have recognized three distinct functions:
LJ021-0092|first, the legislative or policy making function;|first, the legislative or policy making function;
LJ021-0093|second, the administrative function of code making and revision; and, third, the judicial function, which includes enforcement,|second, the administrative function of code making and revision; and, third, the judicial function, which includes enforcement,
LJ021-0094|consumer complaints and the settlement of disputes between employers and employees and between one employer and another.|consumer complaints and the settlement of disputes between employers and employees and between one employer and another.
LJ021-0095|We are now prepared to move into this second phase, on the basis of our experience in the first phase|We are now prepared to move into this second phase, on the basis of our experience in the first phase
LJ021-0096|under the able and energetic leadership of General Johnson.|under the able and energetic leadership of General Johnson.
LJ021-0097|we shall watch carefully the working of this new machinery for the second phase of N.R.A.,|we shall watch carefully the working of this new machinery for the second phase of N.R.A.,
LJ021-0098|modifying it where it needs modification and finally making recommendations to the Congress,|modifying it where it needs modification and finally making recommendations to the Congress,
LJ021-0099|in order that the functions of N.R.A. which have proved their worth may be made a part of the permanent machinery of government.|in order that the functions of N.R.A. which have proved their worth may be made a part of the permanent machinery of government.
LJ021-0100|Let me call your attention to the fact that the national Industrial Recovery Act|Let me call your attention to the fact that the national Industrial Recovery Act
LJ021-0101|gave businessmen the opportunity they had sought for years to improve business conditions through what has been called self-government in industry.|gave businessmen the opportunity they had sought for years to improve business conditions through what has been called self-government in industry.
LJ021-0102|If the codes which have been written have been too complicated,|If the codes which have been written have been too complicated,
LJ021-0103|if they have gone too far in such matters as price fixing and limitation of production,|if they have gone too far in such matters as price fixing and limitation of production,
LJ021-0104|let it be remembered that so far as possible, consistent with the immediate public interest of this past year|let it be remembered that so far as possible, consistent with the immediate public interest of this past year
LJ021-0105|and the vital necessity of improving labor conditions,|and the vital necessity of improving labor conditions,
LJ021-0106|the representatives of trade and industry were permitted to write their ideas into the codes.|the representatives of trade and industry were permitted to write their ideas into the codes.
LJ021-0107|It is now time to review these actions as a whole to determine through deliberative means in the light of experience,|It is now time to review these actions as a whole to determine through deliberative means in the light of experience,
LJ021-0108|from the standpoint of the good of the industries themselves, as well as the general public interest,|from the standpoint of the good of the industries themselves, as well as the general public interest,
LJ021-0109|whether the methods and policies adopted in the emergency|whether the methods and policies adopted in the emergency
LJ021-0110|have been best calculated to promote industrial recovery and a permanent improvement of business and labor conditions.|have been best calculated to promote industrial recovery and a permanent improvement of business and labor conditions.
LJ021-0111|There may be a serious question as to the wisdom of many of those devices to control production,|There may be a serious question as to the wisdom of many of those devices to control production,
LJ021-0112|or to prevent destructive price cutting which many business organizations have insisted were necessary,|or to prevent destructive price cutting which many business organizations have insisted were necessary,
LJ021-0113|or whether their effect may have been to prevent that volume of production which would make possible lower prices and increased employment.|or whether their effect may have been to prevent that volume of production which would make possible lower prices and increased employment.
LJ021-0114|Another question arises as to whether in fixing minimum wages on the basis of an hourly or weekly wage|Another question arises as to whether in fixing minimum wages on the basis of an hourly or weekly wage
LJ021-0115|we have reached into the heart of the problem which is to provide such annual earnings for the lowest paid worker as will meet his minimum needs.|we have reached into the heart of the problem which is to provide such annual earnings for the lowest paid worker as will meet his minimum needs.
LJ021-0116|We also question the wisdom of extending code requirements suited to the great industrial centers and to large employers,|We also question the wisdom of extending code requirements suited to the great industrial centers and to large employers,
LJ021-0117|to the great number of small employers in the smaller communities.|to the great number of small employers in the smaller communities.
LJ021-0118|During the last twelve months our industrial recovery has been to some extent retarded by strikes,|During the last twelve months our industrial recovery has been to some extent retarded by strikes,
LJ021-0119|including a few of major importance.|including a few of major importance.
LJ021-0120|I would not minimize the inevitable losses to employers and employees and to the general public through such conflicts.|I would not minimize the inevitable losses to employers and employees and to the general public through such conflicts.
LJ021-0121|But I would point out that the extent and severity of labor disputes during this period|But I would point out that the extent and severity of labor disputes during this period
LJ021-0122|has been far less than in any previous, comparable period.|has been far less than in any previous, comparable period.
LJ021-0123|When the businessmen of the country were demanding the right to organize themselves adequately to promote their legitimate interests;|When the businessmen of the country were demanding the right to organize themselves adequately to promote their legitimate interests;
LJ021-0124|when the farmers were demanding legislation which would give them opportunities and incentives to organize themselves for a common advance,|when the farmers were demanding legislation which would give them opportunities and incentives to organize themselves for a common advance,
LJ021-0125|it was natural that the workers should seek and obtain a statutory declaration of their constitutional right|it was natural that the workers should seek and obtain a statutory declaration of their constitutional right
LJ021-0126|to organize themselves for collective bargaining as embodied in Section 7 (a) of the national Industrial Recovery Act.|to organize themselves for collective bargaining as embodied in Section seven (a) of the national Industrial Recovery Act.
LJ021-0127|Machinery set up by the federal government has provided some new methods of adjustment.|Machinery set up by the federal government has provided some new methods of adjustment.
LJ021-0128|Both employers and employees must share the blame of not using them as fully as they should.|Both employers and employees must share the blame of not using them as fully as they should.
LJ021-0129|The employer who turns away from impartial agencies of peace,|The employer who turns away from impartial agencies of peace,
LJ021-0130|who denies freedom of organization to his employees, or fails to make every reasonable effort at a peaceful solution of their differences,|who denies freedom of organization to his employees, or fails to make every reasonable effort at a peaceful solution of their differences,
LJ021-0131|is not fully supporting the recovery effort of his government.|is not fully supporting the recovery effort of his government.
LJ021-0132|The workers who turn away from these same impartial agencies and decline to use their good offices to gain their ends|The workers who turn away from these same impartial agencies and decline to use their good offices to gain their ends
LJ021-0133|are likewise not fully cooperating with their government.|are likewise not fully cooperating with their government.
LJ021-0134|It is time that we made a clean-cut effort to bring about that united action of management and labor,|It is time that we made a clean-cut effort to bring about that united action of management and labor,
LJ021-0135|which is one of the high purposes of the Recovery Act.|which is one of the high purposes of the Recovery Act.
LJ021-0136|We have passed through more than a year of education.|We have passed through more than a year of education.
LJ021-0137|Step by step we have created all the government agencies necessary to insure, as a general rule, industrial peace,|Step by step we have created all the government agencies necessary to insure, as a general rule, industrial peace,
LJ021-0138|with justice for all those willing to use these agencies whenever their voluntary bargaining fails to produce a necessary agreement.|with justice for all those willing to use these agencies whenever their voluntary bargaining fails to produce a necessary agreement.
LJ021-0139|There should be at least a full and fair trial given to these means of ending industrial warfare;|There should be at least a full and fair trial given to these means of ending industrial warfare;
LJ021-0140|and in such an effort we should be able to secure for employers and employees and consumers|and in such an effort we should be able to secure for employers and employees and consumers
LJ021-0141|the benefits that all derive from the continuous, peaceful operation of our essential enterprises.|the benefits that all derive from the continuous, peaceful operation of our essential enterprises.
LJ021-0142|Accordingly, I propose to confer within the coming month|Accordingly, I propose to confer within the coming month
LJ021-0143|with small groups of those truly representative of large employers of labor and of large groups of organized labor,|with small groups of those truly representative of large employers of labor and of large groups of organized labor,
LJ021-0144|in order to seek their cooperation in establishing what I may describe as a specific trial period of industrial peace.|in order to seek their cooperation in establishing what I may describe as a specific trial period of industrial peace.
LJ021-0145|From those willing to join in establishing this hoped-for period of peace,|From those willing to join in establishing this hoped-for period of peace,
LJ021-0146|I shall seek assurances of the making and maintenance of agreements, which can be mutually relied upon,|I shall seek assurances of the making and maintenance of agreements, which can be mutually relied upon,
LJ021-0147|under which wages, hours and working conditions|under which wages, hours and working conditions
LJ021-0148|may be determined and any later adjustments shall be made either by agreement or, in case of disagreement,|may be determined and any later adjustments shall be made either by agreement or, in case of disagreement,
LJ021-0149|through the mediation or arbitration of state or federal agencies.|through the mediation or arbitration of state or federal agencies.
LJ021-0150|I shall not ask either employers or employees permanently to lay aside the weapons common to industrial war.|I shall not ask either employers or employees permanently to lay aside the weapons common to industrial war.
LJ021-0151|But I shall ask both groups to give a fair trial to peaceful methods of adjusting their conflicts of opinion and interest,|But I shall ask both groups to give a fair trial to peaceful methods of adjusting their conflicts of opinion and interest,
LJ021-0152|and to experiment for a reasonable time with measures suitable to civilize our industrial civilization.|and to experiment for a reasonable time with measures suitable to civilize our industrial civilization.
LJ021-0153|Closely allied to the N.R.A.|Closely allied to the N.R.A.
LJ021-0154|is the program of Public Works provided for in the same Act and designed to put more men back to work,|is the program of Public Works provided for in the same Act and designed to put more men back to work,
LJ021-0156|To those who say that our expenditures for public works and other means for recovery are a waste that we cannot afford,|To those who say that our expenditures for public works and other means for recovery are a waste that we cannot afford,
LJ021-0157|I answer that no country, however rich, can afford the waste of its human resources.|I answer that no country, however rich, can afford the waste of its human resources.
LJ021-0158|Demoralization caused by vast unemployment is our greatest extravagance.|Demoralization caused by vast unemployment is our greatest extravagance.
LJ021-0159|Morally, it is the greatest menace to our social order.|Morally, it is the greatest menace to our social order.
LJ021-0160|Some people try to tell me that we must make up our minds that for the future we shall permanently have millions of unemployed|Some people try to tell me that we must make up our minds that for the future we shall permanently have millions of unemployed
LJ021-0161|just as other countries have had them for over a decade.|just as other countries have had them for over a decade.
LJ021-0162|What may be necessary for those countries is not my responsibility to determine.|What may be necessary for those countries is not my responsibility to determine.
LJ021-0163|But as for this country, I stand or fall by my refusal to accept as a necessary condition of our future|But as for this country, I stand or fall by my refusal to accept as a necessary condition of our future
LJ021-0164|a permanent army of unemployed.|a permanent army of unemployed.
LJ021-0165|On the contrary,|On the contrary,
LJ021-0166|we must make it a national principle that we will not tolerate a large army of unemployed and that we will arrange our national economy|we must make it a national principle that we will not tolerate a large army of unemployed and that we will arrange our national economy
LJ021-0167|to end our present unemployment as soon as we can and then to take wise measures against its return.|to end our present unemployment as soon as we can and then to take wise measures against its return.
LJ021-0168|I do not want to think that it is the destiny of any American to remain permanently on relief rolls.|I do not want to think that it is the destiny of any American to remain permanently on relief rolls.
LJ021-0169|Those, fortunately few in number, who are frightened by boldness and cowed by the necessity for making decisions,|Those, fortunately few in number, who are frightened by boldness and cowed by the necessity for making decisions,
LJ021-0170|complain that all we have done is unnecessary and subject to great risks.|complain that all we have done is unnecessary and subject to great risks.
LJ021-0171|Now that these people are coming out of their storm cellars, they forget that there ever was a storm.|Now that these people are coming out of their storm cellars, they forget that there ever was a storm.
LJ021-0172|They point to England.|They point to England.
LJ021-0173|They would have you believe that England has made progress out of her depression by a do-nothing policy, by letting nature take her course.|They would have you believe that England has made progress out of her depression by a do-nothing policy, by letting nature take her course.
LJ021-0174|England has her peculiarities and we have ours|England has her peculiarities and we have ours
LJ021-0175|but I do not believe any intelligent observer can accuse England of undue orthodoxy in the present emergency.|but I do not believe any intelligent observer can accuse England of undue orthodoxy in the present emergency.
LJ021-0176|Did England let nature take her course? No.|Did England let nature take her course? No.
LJ021-0177|Did England hold to the gold standard when her reserves were threatened?|Did England hold to the gold standard when her reserves were threatened?
LJ021-0178|Has England gone back to the gold standard today?|Has England gone back to the gold standard today?
LJ021-0179|Did England hesitate to call in ten billion dollars of her war bonds bearing 5 percent interest,|Did England hesitate to call in ten billion dollars of her war bonds bearing five percent interest,
LJ021-0180|to issue new bonds therefore bearing only 3 and one half percent interest,|to issue new bonds therefore bearing only three and one half percent interest,
LJ021-0181|thereby saving the British treasury one hundred and fifty million dollars a year in interest alone?|thereby saving the British treasury one hundred and fifty million dollars a year in interest alone?
LJ021-0182|And let it be recorded that the British bankers helped.|And let it be recorded that the British bankers helped.
LJ021-0183|Is it not a fact that ever since the year 1909,|Is it not a fact that ever since the year nineteen oh nine,
LJ021-0184|Great Britain in many ways has advanced further along lines of social security than the United States?|Great Britain in many ways has advanced further along lines of social security than the United States?
LJ021-0185|Is it not a fact that relations between capital and labor on the basis of collective bargaining are much further advanced in Great Britain|Is it not a fact that relations between capital and labor on the basis of collective bargaining are much further advanced in Great Britain
LJ021-0186|than in the United States?|than in the United States?
LJ021-0187|It is perhaps not strange that the conservative British press has told us with pardonable irony|It is perhaps not strange that the conservative British press has told us with pardonable irony
LJ021-0188|that much of our New Deal program is only an attempt to catch up with English reforms that go back ten years or more.|that much of our New Deal program is only an attempt to catch up with English reforms that go back ten years or more.
LJ021-0189|Nearly all Americans are sensible and calm people.|Nearly all Americans are sensible and calm people.
LJ021-0190|We do not get greatly excited nor is our peace of mind disturbed, whether we be businessmen or workers or farmers,|We do not get greatly excited nor is our peace of mind disturbed, whether we be businessmen or workers or farmers,
LJ021-0191|by awesome pronouncements concerning the unconstitutionality of some of our measures of recovery and relief and reform.|by awesome pronouncements concerning the unconstitutionality of some of our measures of recovery and relief and reform.
LJ021-0192|We are not frightened by reactionary lawyers or political editors.|We are not frightened by reactionary lawyers or political editors.
LJ021-0193|All of these cries have been heard before.|All of these cries have been heard before.
LJ021-0194|More than twenty years ago, when Theodore Roosevelt and Woodrow Wilson were attempting to correct abuses in our national life,|More than twenty years ago, when Theodore Roosevelt and Woodrow Wilson were attempting to correct abuses in our national life,
LJ021-0195|the great Chief Justice White said:|the great Chief Justice White said:
LJ021-0196|There is great danger it seems to me to arise from the constant habit which prevails where anything is opposed or objected to,|There is great danger it seems to me to arise from the constant habit which prevails where anything is opposed or objected to,
LJ021-0197|of referring without rhyme or reason to the Constitution as a means of preventing its accomplishment, thus creating the general impression|of referring without rhyme or reason to the Constitution as a means of preventing its accomplishment, thus creating the general impression
LJ021-0198|that the Constitution is but a barrier to progress instead of being the broad highway through which alone true progress may be enjoyed.|that the Constitution is but a barrier to progress instead of being the broad highway through which alone true progress may be enjoyed.
LJ021-0199|In our efforts for recovery|In our efforts for recovery
LJ021-0200|we have avoided on the one hand the theory that business should and must be taken over into an all-embracing government.|we have avoided on the one hand the theory that business should and must be taken over into an all-embracing government.
LJ021-0201|We have avoided on the other hand|We have avoided on the other hand
LJ021-0202|the equally untenable theory that it is an interference with liberty to offer reasonable help when private enterprise is in need of help.|the equally untenable theory that it is an interference with liberty to offer reasonable help when private enterprise is in need of help.
LJ021-0203|The course we have followed fits the American practice of government -- a practice of taking action step by step,|The course we have followed fits the American practice of government -- a practice of taking action step by step,
LJ021-0204|of regulating only to meet concrete needs -- a practice of courageous recognition of change.|of regulating only to meet concrete needs -- a practice of courageous recognition of change.
LJ021-0205|I believe with Abraham Lincoln, that "The legitimate object of government is to do for a community of people|I believe with Abraham Lincoln, that "The legitimate object of government is to do for a community of people
LJ021-0206|whatever they need to have done but cannot do at all or cannot do so well for themselves in their separate and individual capacities."|whatever they need to have done but cannot do at all or cannot do so well for themselves in their separate and individual capacities."
LJ021-0207|I am not for a return to that definition of liberty under which for many years a free people were being gradually regimented|I am not for a return to that definition of liberty under which for many years a free people were being gradually regimented
LJ021-0208|into the service of the privileged few.|into the service of the privileged few.
LJ021-0209|I prefer and I am sure you prefer that broader definition of liberty under which we are moving forward to greater freedom,|I prefer and I am sure you prefer that broader definition of liberty under which we are moving forward to greater freedom,
LJ021-0210|to greater security for the average man than he has ever known before in the history of America.|to greater security for the average man than he has ever known before in the history of America.
LJ022-0001|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section 7.|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section seven.
LJ022-0002|April 28, 1935.|April twenty-eight, nineteen thirty-five.
LJ022-0003|Since my annual message to the Congress on January fourth, last, I have not addressed the general public over the air.|Since my annual message to the Congress on January fourth, last, I have not addressed the general public over the air.
LJ022-0004|In the many weeks since that time the Congress has devoted itself to the arduous task of formulating legislation necessary to the country's welfare.|In the many weeks since that time the Congress has devoted itself to the arduous task of formulating legislation necessary to the country's welfare.
LJ022-0005|It has made and is making distinct progress.|It has made and is making distinct progress.
LJ022-0006|Before I come to any of the specific measures, however, I want to leave in your minds one clear fact.|Before I come to any of the specific measures, however, I want to leave in your minds one clear fact.
LJ022-0007|The administration and the Congress are not proceeding in any haphazard fashion in this task of government.|The administration and the Congress are not proceeding in any haphazard fashion in this task of government.
LJ022-0008|Each of our steps has a definite relationship to every other step.|Each of our steps has a definite relationship to every other step.
LJ022-0009|The job of creating a program for the nation's welfare is, in some respects, like the building of a ship.|The job of creating a program for the nation's welfare is, in some respects, like the building of a ship.
LJ022-0010|At different points on the coast where I often visit they build great seagoing ships.|At different points on the coast where I often visit they build great seagoing ships.
LJ022-0011|When one of these ships is under construction and the steel frames have been set in the keel,|When one of these ships is under construction and the steel frames have been set in the keel,
LJ022-0012|it is difficult for a person who does not know ships to tell how it will finally look when it is sailing the high seas.|it is difficult for a person who does not know ships to tell how it will finally look when it is sailing the high seas.
LJ022-0013|It may seem confused to some, but out of the multitude of detailed parts that go into the making of the structure|It may seem confused to some, but out of the multitude of detailed parts that go into the making of the structure
LJ022-0014|the creation of a useful instrument for man ultimately comes.|the creation of a useful instrument for man ultimately comes.
LJ022-0015|It is that way with the making of a national policy. The objective of the nation has greatly changed in three years|It is that way with the making of a national policy. The objective of the nation has greatly changed in three years
LJ022-0016|Before that time individual self- interest and group selfishness were paramount in public thinking.|Before that time individual self- interest and group selfishness were paramount in public thinking.
LJ022-0017|The general good was at a discount.|The general good was at a discount.
LJ022-0018|Three years of hard thinking have changed the picture.|Three years of hard thinking have changed the picture.
LJ022-0019|More and more people,|More and more people,
LJ022-0020|cause of clearer thinking and a better understanding, are considering the whole rather than a mere part relating to one section or to one crop,|cause of clearer thinking and a better understanding, are considering the whole rather than a mere part relating to one section or to one crop,
LJ022-0021|or to one industry, or to an individual private occupation.|or to one industry, or to an individual private occupation.
LJ022-0022|That is a tremendous gain for the principles of democracy.|That is a tremendous gain for the principles of democracy.
LJ022-0023|The overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read.|The overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read.
LJ022-0024|They know that the process of the constructive rebuilding of America cannot be done in a day or a year,|They know that the process of the constructive rebuilding of America cannot be done in a day or a year,
