LJ031-0001|Report of the President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy.
LJ031-0030|Governor Connally, who had lost consciousness on the ride to the hospital, regained consciousness when the limousine stopped abruptly at the emergency entrance.|Governor Connally, who had lost consciousness on the ride to the hospital, regained consciousness when the limousine stopped abruptly at the emergency entrance.
LJ031-0031|Despite his serious wounds, Governor Connally tried to get out of the way so that medical help could reach the President.|Despite his serious wounds, Governor Connally tried to get out of the way so that medical help could reach the President.
LJ031-0032|Although he was reclining in his wife's arms, he lurched forward in an effort to stand upright and get out of the car, but he collapsed again.|Although he was reclining in his wife's arms, he lurched forward in an effort to stand upright and get out of the car, but he collapsed again.
LJ031-0033|Then he experienced his first sensation of pain, which became excruciating.|Then he experienced his first sensation of pain, which became excruciating.
LJ031-0034|The Governor was lifted onto a stretcher and taken into trauma room 2.|The Governor was lifted onto a stretcher and taken into trauma room two.
LJ031-0035|For a moment, Mrs. Kennedy refused to release the President, whom she held in her lap,|For a moment, Mrs. Kennedy refused to release the President, whom she held in her lap,
LJ031-0036|but then Kellerman, Greer, and Lawson lifted the President onto a stretcher and pushed it into trauma room 1.|but then Kellerman, Greer, and Lawson lifted the President onto a stretcher and pushed it into trauma room one.
LJ031-0037|Treatment of President Kennedy|Treatment of President Kennedy
LJ031-0038|The first physician to see the President at Parkland Hospital was Dr. Charles J. Carrico, a resident in general surgery.|The first physician to see the President at Parkland Hospital was Dr. Charles J. Carrico, a resident in general surgery.
LJ031-0039|Dr. Carrico was in the emergency area, examining another patient, when he was notified that President Kennedy was en route to the hospital.|Dr. Carrico was in the emergency area, examining another patient, when he was notified that President Kennedy was en route to the hospital.
LJ031-0040|Approximately 2 minutes later, Dr. Carrico saw the President on his back, being wheeled into the emergency area.|Approximately two minutes later, Dr. Carrico saw the President on his back, being wheeled into the emergency area.
LJ031-0041|He noted that the President was blue-white or ashen in color; had slow, spasmodic, agonal respiration without any coordination;|He noted that the President was blue-white or ashen in color; had slow, spasmodic, agonal respiration without any coordination;
LJ031-0042|made no voluntary movements; had his eyes open with the pupils dilated without any reaction to light,|made no voluntary movements; had his eyes open with the pupils dilated without any reaction to light,
LJ031-0043|evidenced no palpable pulse; and had a few chest sounds which were thought to be heartbeats.|evidenced no palpable pulse; and had a few chest sounds which were thought to be heartbeats.
LJ031-0044|On the basis of these findings, Dr. Carrico concluded that President Kennedy was still alive.|On the basis of these findings, Dr. Carrico concluded that President Kennedy was still alive.
LJ031-0045|Dr. Carrico noted two wounds: a small bullet wound in the front lower neck,|Dr. Carrico noted two wounds: a small bullet wound in the front lower neck,
LJ031-0046|and an extensive wound in the President's head where a sizable portion of the skull was missing.|and an extensive wound in the President's head where a sizable portion of the skull was missing.
LJ031-0047|He observed shredded brain tissue and, quote, considerable slow oozing, end quote, from the latter wound,|He observed shredded brain tissue and, quote, considerable slow oozing, end quote, from the latter wound,
LJ031-0048|followed by, quote, more profuse bleeding, end quote, after some circulation was established.|followed by, quote, more profuse bleeding, end quote, after some circulation was established.
LJ031-0049|Dr. Carrico felt the President's back and determined that there was no large wound there which would be an immediate threat to life.|Dr. Carrico felt the President's back and determined that there was no large wound there which would be an immediate threat to life.
LJ031-0050|Observing the serious problems presented by the head wound and inadequate respiration, Dr. Carrico directed his attention to improving the President's breathing.|Observing the serious problems presented by the head wound and inadequate respiration, Dr. Carrico directed his attention to improving the President's breathing.
LJ031-0051|He noted contusions, hematoma to the right of the larynx, which was deviated slightly to the left,|He noted contusions, hematoma to the right of the larynx, which was deviated slightly to the left,
LJ031-0052|and also ragged tissue which indicated a tracheal injury.|and also ragged tissue which indicated a tracheal injury.
LJ031-0053|Dr. Carrico inserted a cuffed endotracheal tube past the injury, inflated the cuff, and connected it to a Bennett machine to assist in respiration.|Dr. Carrico inserted a cuffed endotracheal tube past the injury, inflated the cuff, and connected it to a Bennett machine to assist in respiration.
LJ031-0054|At that point, direction of the President's treatment was undertaken by Dr. Malcolm O. Perry, who arrived at trauma room 1 a few moments after the President.|At that point, direction of the President's treatment was undertaken by Dr. Malcolm O. Perry, who arrived at trauma room one a few moments after the President.
LJ031-0055|Dr. Perry noted the President's back brace as he felt for a femoral pulse, which he did not find.|Dr. Perry noted the President's back brace as he felt for a femoral pulse, which he did not find.
LJ031-0056|Observing that an effective airway had to be established if treatment was to be effective, Dr. Perry performed a tracheotomy, which required 3 to 5 minutes.|Observing that an effective airway had to be established if treatment was to be effective, Dr. Perry performed a tracheotomy, which required three to five minutes.
LJ031-0057|While Dr. Perry was performing the tracheotomy, Drs. Carrico and Ronald Jones made cutdowns on the President's right leg and left arm, respectively,|While Dr. Perry was performing the tracheotomy, Drs. Carrico and Ronald Jones made cutdowns on the President's right leg and left arm, respectively,
LJ031-0058|to infuse blood and fluids into the circulatory system.|to infuse blood and fluids into the circulatory system.
LJ031-0059|Dr. Carrico treated the President's known ad-renal insufficiency by administering hydrocortisone.|Dr. Carrico treated the President's known ad-renal insufficiency by administering hydrocortisone.
LJ031-0060|Dr. Robert N. McClelland entered at that point and assisted Dr. Perry with the tracheotomy.|Dr. Robert N. McClelland entered at that point and assisted Dr. Perry with the tracheotomy.
LJ031-0061|Dr. Fouad Bashour, chief of cardiology, Dr. M. T. Jenkins, chief of anesthesiology, and Dr. A. H. Giesecke, Jr.,|Dr. Fouad Bashour, chief of cardiology, Dr. M. T. Jenkins, chief of anesthesiology, and Dr. A. H. Giesecke, Jr.,
LJ031-0062|then joined in the effort to revive the President.|then joined in the effort to revive the President.
LJ031-0063|When Dr. Perry noted free air and blood in the President's chest cavity, he asked that chest tubes be inserted to allow for drainage of blood and air.|When Dr. Perry noted free air and blood in the President's chest cavity, he asked that chest tubes be inserted to allow for drainage of blood and air.
LJ031-0064|Drs. Paul C. Peters and Charles R. Baxter initiated these procedures.|Drs. Paul C. Peters and Charles R. Baxter initiated these procedures.
LJ031-0065|As a result of the infusion of liquids through the cutdowns, the cardiac massage, and the airway,|As a result of the infusion of liquids through the cutdowns, the cardiac massage, and the airway,
LJ031-0066|the doctors were able to maintain peripheral circulation as monitored at the neck (carotid) artery and at the wrist (radial) pulse.|the doctors were able to maintain peripheral circulation as monitored at the neck (carotid) artery and at the wrist (radial) pulse.
LJ031-0067|A femoral pulse was also detected in the President's leg.|A femoral pulse was also detected in the President's leg.
LJ031-0068|While these medical efforts were in progress,|While these medical efforts were in progress,
LJ031-0069|Dr. Clark noted some electrical activity on the cardiotachyscope attached to monitor the President's heart responses.|Dr. Clark noted some electrical activity on the cardiotachyscope attached to monitor the President's heart responses.
LJ031-0070|Dr. Clark, who most closely observed the head wound,|Dr. Clark, who most closely observed the head wound,
LJ031-0071|described a large, gaping wound in the right rear part of the head, with substantial damage and exposure of brain tissue, and a considerable loss of blood.|described a large, gaping wound in the right rear part of the head, with substantial damage and exposure of brain tissue, and a considerable loss of blood.
LJ031-0072|Dr. Clark did not see any other hole or wound on the President's head.|Dr. Clark did not see any other hole or wound on the President's head.
LJ031-0073|According to Dr. Clark, the small bullet hole on the right rear of the President's head discovered during the subsequent autopsy|According to Dr. Clark, the small bullet hole on the right rear of the President's head discovered during the subsequent autopsy
LJ031-0074|quote, could have easily been hidden in the blood and hair, end quote,|quote, could have easily been hidden in the blood and hair, end quote,
LJ031-0075|In the absence of any neurological, muscular, or heart response, the doctors concluded that efforts to revive the President were hopeless.|In the absence of any neurological, muscular, or heart response, the doctors concluded that efforts to revive the President were hopeless.
LJ031-0076|This was verified by Admiral Burkley, the President's physician, who arrived at the hospital after emergency treatment was underway and concluded that, quote,|This was verified by Admiral Burkley, the President's physician, who arrived at the hospital after emergency treatment was underway and concluded that, quote,
LJ031-0077|my direct services to him at that moment would have interfered with the action of the team which was in progress, end quote,|my direct services to him at that moment would have interfered with the action of the team which was in progress, end quote,
LJ031-0078|At approximately 1 p.m., after last rites were administered to the President by Father Oscar L. Huber, Dr. Clark pronounced the President dead.|At approximately one p.m., after last rites were administered to the President by Father Oscar L. Huber, Dr. Clark pronounced the President dead.
LJ031-0079|He made the official determination because the ultimate cause of death, the severe head injury, was within his sphere of specialization.|He made the official determination because the ultimate cause of death, the severe head injury, was within his sphere of specialization.
LJ031-0080|The time was fixed at 1 p.m., as an approximation, since it was impossible to determine the precise moment when life left the President.|The time was fixed at one p.m., as an approximation, since it was impossible to determine the precise moment when life left the President.
LJ031-0081|President Kennedy could have survived the neck injury, but the head wound was fatal.|President Kennedy could have survived the neck injury, but the head wound was fatal.
LJ031-0082|From a medical viewpoint, President Kennedy was alive when he arrived at Parkland Hospital;|From a medical viewpoint, President Kennedy was alive when he arrived at Parkland Hospital;
LJ031-0083|the doctors observed that he had a heartbeat and was making some respiratory efforts.|the doctors observed that he had a heartbeat and was making some respiratory efforts.
LJ031-0084|But his condition was hopeless, and the extraordinary efforts of the doctors to save him could not help but to have been unavailing.|But his condition was hopeless, and the extraordinary efforts of the doctors to save him could not help but to have been unavailing.
LJ031-0085|Since the Dallas doctors directed all their efforts to controlling the massive bleeding caused by the head wound, and to reconstructing an airway to his lungs,|Since the Dallas doctors directed all their efforts to controlling the massive bleeding caused by the head wound, and to reconstructing an airway to his lungs,
LJ031-0086|the President remained on his back throughout his medical treatment at Parkland.|the President remained on his back throughout his medical treatment at Parkland.
LJ031-0087|When asked why he did not turn the President over, Dr. Carrico testified as follows:|When asked why he did not turn the President over, Dr. Carrico testified as follows:
LJ031-0088|This man was in obvious extreme distress and any more thorough inspection would have involved several minutes -- well, several|This man was in obvious extreme distress and any more thorough inspection would have involved several minutes -- well, several
LJ031-0089|considerable time which at this juncture was not available.|considerable time which at this juncture was not available.
LJ031-0090|A thorough inspection would have involved washing and cleansing the back, and this is not practical in treating an acutely injured patient.|A thorough inspection would have involved washing and cleansing the back, and this is not practical in treating an acutely injured patient.
LJ031-0092|Did you ever have occasion to look at the President's back?|Did you ever have occasion to look at the President's back?
LJ031-0093|Answer: No, sir. Before -- well, in trying to treat an acutely injured patient, you have to establish an airway, adequate ventilation|Answer: No, sir. Before -- well, in trying to treat an acutely injured patient, you have to establish an airway, adequate ventilation
LJ031-0094|and you have to establish adequate circulation.|and you have to establish adequate circulation.
LJ031-0095|Before this was accomplished the President's cardiac activity had ceased and closed cardiac massage was instituted, which made it impossible to inspect his back.|Before this was accomplished the President's cardiac activity had ceased and closed cardiac massage was instituted, which made it impossible to inspect his back.
LJ031-0096|Question: Was any effort made to inspect the President's back after he had expired? Answer: No, sir.|Question: Was any effort made to inspect the President's back after he had expired? Answer: No, sir.
LJ031-0097|Question: And why was no effort made at that time to inspect his back? Answer:|Question: And why was no effort made at that time to inspect his back? Answer:
LJ031-0098|I suppose nobody really had the heart to do it.|I suppose nobody really had the heart to do it.
LJ031-0099|Moreover, the Parkland doctors took no further action after the President had expired because they concluded that it was beyond the scope of their permissible duties.|Moreover, the Parkland doctors took no further action after the President had expired because they concluded that it was beyond the scope of their permissible duties.
LJ031-0100|Treatment of Governor Connally|Treatment of Governor Connally
LJ031-0101|While one medical team tried to revive President Kennedy, a second performed a series of operations on the bullet wounds sustained by Governor Connally.|While one medical team tried to revive President Kennedy, a second performed a series of operations on the bullet wounds sustained by Governor Connally.
LJ031-0102|Governor Connally was originally seen by Dr. Carrico and Dr. Richard Dulany.|Governor Connally was originally seen by Dr. Carrico and Dr. Richard Dulany.
LJ031-0103|While Dr. Carrico went on to attend the President, Dr. Dulany stayed with the Governor and was soon joined by several other doctors.|While Dr. Carrico went on to attend the President, Dr. Dulany stayed with the Governor and was soon joined by several other doctors.
LJ031-0104|At approximately 12:45 p.m., Dr. Robert Shaw,|At approximately twelve:forty-five p.m., Dr. Robert Shaw,
LJ031-0105|chief of thoracic surgery, arrived at trauma room 2, to take charge of the care of Governor Connally,|chief of thoracic surgery, arrived at trauma room two, to take charge of the care of Governor Connally,
LJ031-0106|whose major wound fell within Dr. Shaw's area of specialization.|whose major wound fell within Dr. Shaw's area of specialization.
LJ031-0107|Governor Connally had a large sucking wound in the front of the right chest which caused extreme pain and difficulty in breathing.|Governor Connally had a large sucking wound in the front of the right chest which caused extreme pain and difficulty in breathing.
LJ031-0108|Rubber tubes were inserted between the second and third ribs to reexpand the right lung, which had collapsed because of the opening in the chest wall.|Rubber tubes were inserted between the second and third ribs to reexpand the right lung, which had collapsed because of the opening in the chest wall.
LJ031-0109|At 1:35 p.m., after Governor Connally had been moved to the operating room, Dr. Shaw started the first operation|At one:thirty-five p.m., after Governor Connally had been moved to the operating room, Dr. Shaw started the first operation
LJ031-0110|by cutting away the edges of the wound on the front of the Governor's chest and suturing the damaged lung and lacerated muscles.|by cutting away the edges of the wound on the front of the Governor's chest and suturing the damaged lung and lacerated muscles.
LJ031-0111|The elliptical wound in the Governor's back, located slightly to the left of the Governor's right armpit approximately five-eighths inch (a centimeter and a half)|The elliptical wound in the Governor's back, located slightly to the left of the Governor's right armpit approximately five-eighths inch (a centimeter and a half)
LJ031-0112|in its greatest diameter, was treated by cutting away the damaged skin and suturing the back muscle and skin.|in its greatest diameter, was treated by cutting away the damaged skin and suturing the back muscle and skin.
LJ031-0113|This operation was concluded at 3:20 p.m.|This operation was concluded at three:twenty p.m.
LJ031-0114|Two additional operations were performed on Governor Connally for wounds which he had not realized he had sustained until he regained consciousness the following day.|Two additional operations were performed on Governor Connally for wounds which he had not realized he had sustained until he regained consciousness the following day.
LJ031-0115|From approximately 4 p.m. to 4:50 p.m. on November 22,|From approximately four p.m. to four:fifty p.m. on November twenty-two,
LJ031-0116|Dr. Charles F. Gregory, chief of orthopedic surgery, operated on the wounds of Governor Connally's right wrist,|Dr. Charles F. Gregory, chief of orthopedic surgery, operated on the wounds of Governor Connally's right wrist,
LJ031-0117|assisted by Drs. William Osborne and John Parker.|assisted by Drs. William Osborne and John Parker.
LJ031-0118|The wound on the back of the wrist was left partially open for draining, and the wound on the palm side was enlarged, cleansed, and closed.|The wound on the back of the wrist was left partially open for draining, and the wound on the palm side was enlarged, cleansed, and closed.
LJ031-0119|The fracture was set, and a cast was applied with some traction utilized.|The fracture was set, and a cast was applied with some traction utilized.
LJ031-0120|While the second operation was in progress,|While the second operation was in progress,
LJ031-0121|Dr. George T. Shires, assisted by Drs. Robert McClelland, Charles Baxter, and Ralph Don Patman,|Dr. George T. Shires, assisted by Drs. Robert McClelland, Charles Baxter, and Ralph Don Patman,
LJ031-0122|treated the gunshot wound in the left thigh.|treated the gunshot wound in the left thigh.
LJ031-0123|This punctuate missile wound, about two-fifths inch in diameter (1 centimeter) and located approximately 5 inches above the left knee,|This punctuate missile wound, about two-fifths inch in diameter (one centimeter) and located approximately five inches above the left knee,
LJ031-0124|was cleansed and closed with sutures; but a small metallic fragment remained in the Governor's leg.|was cleansed and closed with sutures; but a small metallic fragment remained in the Governor's leg.
LJ031-0125|Vice President Johnson at Parkland|Vice President Johnson at Parkland
LJ031-0126|As President Kennedy and Governor Connally were being removed from the limousine onto stretchers,|As President Kennedy and Governor Connally were being removed from the limousine onto stretchers,
LJ031-0127|a protective circle of Secret Service agents surrounded Vice President and Mrs. Johnson|a protective circle of Secret Service agents surrounded Vice President and Mrs. Johnson
LJ031-0128|and escorted them into Parkland Hospital through the emergency entrance.|and escorted them into Parkland Hospital through the emergency entrance.
LJ031-0129|The agents moved a nurse and patient out of a nearby room, lowered the shades, and took emergency security measures to protect the Vice President.|The agents moved a nurse and patient out of a nearby room, lowered the shades, and took emergency security measures to protect the Vice President.
LJ031-0130|Two men from the President's follow-up car were detailed to help protect the Vice President.|Two men from the President's follow-up car were detailed to help protect the Vice President.
LJ031-0131|An agent was stationed at the entrance to stop anyone who was not a member of the Presidential party.|An agent was stationed at the entrance to stop anyone who was not a member of the Presidential party.
LJ031-0132|U.S. Representatives Henry B. Gonzalez,|U.S. Representatives Henry B. Gonzalez,
LJ031-0133|Jack Brooks, Homer Thornberry, and Albert Thomas joined Clifton C. Carter and the group of special agents protecting the Vice President.|Jack Brooks, Homer Thornberry, and Albert Thomas joined Clifton C. Carter and the group of special agents protecting the Vice President.
LJ031-0134|On one occasion Mrs. Johnson, accompanied by two Secret Service agents, left the room to see Mrs. Kennedy and Mrs. Connally.|On one occasion Mrs. Johnson, accompanied by two Secret Service agents, left the room to see Mrs. Kennedy and Mrs. Connally.
LJ031-0135|Concern that the Vice President might also be a target for assassination prompted the Secret Service agents to urge him to leave the hospital and return to Washington immediately.|Concern that the Vice President might also be a target for assassination prompted the Secret Service agents to urge him to leave the hospital and return to Washington immediately.
LJ031-0136|The Vice President decided to wait until he received definitive word of the President's condition.|The Vice President decided to wait until he received definitive word of the President's condition.
LJ031-0137|At approximately 1:20 p.m., Vice President Johnson was notified by O'Donnell that President Kennedy was dead.|At approximately one:twenty p.m., Vice President Johnson was notified by O'Donnell that President Kennedy was dead.
LJ031-0138|Special Agent Youngblood learned from Mrs. Johnson the location of her two daughters|Special Agent Youngblood learned from Mrs. Johnson the location of her two daughters
LJ031-0139|and made arrangements through Secret Service headquarters in Washington to provide them with protection immediately.|and made arrangements through Secret Service headquarters in Washington to provide them with protection immediately.
LJ031-0140|When consulted by the Vice President, O'Donnell advised him to go to the airfield immediately and return to Washington.|When consulted by the Vice President, O'Donnell advised him to go to the airfield immediately and return to Washington.
LJ031-0141|It was decided that the Vice President should return on the Presidential plane rather than on the Vice-Presidential plane because it had better communication equipment.|It was decided that the Vice President should return on the Presidential plane rather than on the Vice-Presidential plane because it had better communication equipment.
LJ031-0142|The Vice President conferred with White House Assistant Press Secretary Malcolm Kilduff|The Vice President conferred with White House Assistant Press Secretary Malcolm Kilduff
LJ031-0143|and decided that there would be no release of the news of the President's death until the Vice President had left the hospital.|and decided that there would be no release of the news of the President's death until the Vice President had left the hospital.
LJ031-0144|When told that Mrs. Kennedy refused to leave without the President's body, the Vice President said that he would not leave Dallas without her.|When told that Mrs. Kennedy refused to leave without the President's body, the Vice President said that he would not leave Dallas without her.
LJ031-0145|On the recommendation of the Secret Service agents, Vice President Johnson decided to board the Presidential airplane, Air Force One,|On the recommendation of the Secret Service agents, Vice President Johnson decided to board the Presidential airplane, Air Force One,
LJ031-0146|and wait for Mrs. Kennedy and the President's body.|and wait for Mrs. Kennedy and the President's body.
LJ031-0147|Secret Service Emergency Security Arrangements|Secret Service Emergency Security Arrangements
LJ031-0148|Immediately after President Kennedy's stretcher was wheeled into trauma room 1, Secret Service agents took positions at the door of the small emergency room.|Immediately after President Kennedy's stretcher was wheeled into trauma room one, Secret Service agents took positions at the door of the small emergency room.
LJ031-0149|A nurse was asked to identify hospital personnel and to tell everyone, except necessary medical staff members, to leave the emergency room.|A nurse was asked to identify hospital personnel and to tell everyone, except necessary medical staff members, to leave the emergency room.
LJ031-0150|Other Secret Service agents posted themselves in the corridors and other areas near the emergency room.|Other Secret Service agents posted themselves in the corridors and other areas near the emergency room.
LJ031-0151|Special Agent Lawson made certain that the Dallas police kept the public and press away from the immediate area of the hospital.|Special Agent Lawson made certain that the Dallas police kept the public and press away from the immediate area of the hospital.
LJ031-0152|Agents Kellerman and Hill telephoned the head of the White House detail, Gerald A. Behn, to advise him of the assassination.|Agents Kellerman and Hill telephoned the head of the White House detail, Gerald A. Behn, to advise him of the assassination.
LJ031-0153|The telephone line to Washington was kept open throughout the remainder of the stay at the hospital.|The telephone line to Washington was kept open throughout the remainder of the stay at the hospital.
LJ031-0154|Secret Service agents stationed at later stops on the President's itinerary of November 22 were redeployed.|Secret Service agents stationed at later stops on the President's itinerary of November twenty-two were redeployed.
LJ031-0155|Men at the Trade Mart were driven to Parkland Hospital in Dallas police cars.|Men at the Trade Mart were driven to Parkland Hospital in Dallas police cars.
LJ031-0156|The Secret Service group awaiting the President in Austin were instructed to return to Washington.|The Secret Service group awaiting the President in Austin were instructed to return to Washington.
LJ031-0157|Meanwhile, the Secret Service agents in charge of security at Love Field started to make arrangements for departure.|Meanwhile, the Secret Service agents in charge of security at Love Field started to make arrangements for departure.
LJ031-0158|As soon as one of the agents learned of the shooting, he asked the officer in charge of the police detail at the airport|As soon as one of the agents learned of the shooting, he asked the officer in charge of the police detail at the airport
LJ031-0159|to institute strict security measures for the Presidential aircraft, the airport terminal, and the surrounding area.|to institute strict security measures for the Presidential aircraft, the airport terminal, and the surrounding area.
LJ031-0160|The police were cautioned to prevent picture taking.|The police were cautioned to prevent picture taking.
LJ031-0161|Secret Service agents working with police cleared the areas adjacent to the aircraft, including warehouses,|Secret Service agents working with police cleared the areas adjacent to the aircraft, including warehouses,
LJ031-0162|other terminal buildings and the neighboring parking lots, of all people.|other terminal buildings and the neighboring parking lots, of all people.
LJ031-0163|The agents decided not to shift the Presidential aircraft to the far side of the airport because the original landing area was secure|The agents decided not to shift the Presidential aircraft to the far side of the airport because the original landing area was secure
LJ031-0164|and a move would require new measures.|and a move would require new measures.
LJ031-0165|When security arrangements at the airport were complete, the Secret Service made the necessary arrangements for the Vice President to leave the hospital.|When security arrangements at the airport were complete, the Secret Service made the necessary arrangements for the Vice President to leave the hospital.
LJ031-0166|Unmarked police cars took the Vice President and Mrs. Johnson from Parkland Hospital to Love Field.|Unmarked police cars took the Vice President and Mrs. Johnson from Parkland Hospital to Love Field.
LJ031-0167|Chief Curry drove one automobile occupied by Vice President Johnson, U.S. Representatives Thomas and Thornberry, and Special Agent Youngblood.|Chief Curry drove one automobile occupied by Vice President Johnson, U.S. Representatives Thomas and Thornberry, and Special Agent Youngblood.
LJ031-0168|In another car Mrs. Johnson was driven to the airport accompanied by Secret Service agents and Representative Brooks.|In another car Mrs. Johnson was driven to the airport accompanied by Secret Service agents and Representative Brooks.
LJ031-0169|Motorcade policemen who escorted the automobiles were requested by the Vice President and Agent Youngblood not to use sirens.|Motorcade policemen who escorted the automobiles were requested by the Vice President and Agent Youngblood not to use sirens.
LJ031-0170|During the drive Vice President Johnson, at Youngblood's instruction, kept below window level.|During the drive Vice President Johnson, at Youngblood's instruction, kept below window level.
LJ031-0171|Removal of the President's Body|Removal of the President's Body
LJ031-0172|While the team of doctors at Parkland Hospital tried desperately to save the life of President Kennedy,|While the team of doctors at Parkland Hospital tried desperately to save the life of President Kennedy,
LJ031-0173|Mrs. Kennedy alternated between watching them and waiting outside.|Mrs. Kennedy alternated between watching them and waiting outside.
LJ031-0174|After the President was pronounced dead,|After the President was pronounced dead,
LJ031-0175|O'Donnell tried to persuade Mrs. Kennedy to leave the area, but she refused.|O'Donnell tried to persuade Mrs. Kennedy to leave the area, but she refused.
LJ031-0176|A casket was obtained and the President's body was prepared for removal.|A casket was obtained and the President's body was prepared for removal.
LJ031-0177|Before the body could be taken from the hospital,|Before the body could be taken from the hospital,
LJ031-0178|two Dallas officials informed members of the President's start that the body could not be removed from the city until an autopsy was performed.|two Dallas officials informed members of the President's start that the body could not be removed from the city until an autopsy was performed.
LJ031-0179|Despite the protests of these officials, the casket was wheeled out of the hospital, placed in an ambulance, and transported to the airport shortly after 2 p.m.|Despite the protests of these officials, the casket was wheeled out of the hospital, placed in an ambulance, and transported to the airport shortly after two p.m.
LJ031-0180|At approximately 2:15 p.m. the casket was loaded, with some difficulty because of the narrow airplane door,|At approximately two:fifteen p.m. the casket was loaded, with some difficulty because of the narrow airplane door,
